Embalaje,Ancho_cm,Largo_cm,Alto_cm,Peso_kg,Manipulacion,Procedencia,Temperatura,Protocolo
2,47.6,7.6,67.0,15.11,normal,A,ambiente,Protocolo_1
1,68.5,13.6,13.6,76.99,fragil,D,ambiente,Protocolo_2
2,40.8,32.0,12.6,79.34,fragil,D,ambiente,Protocolo_2
3,35.4,28.1,85.0,64.46,normal,C,refrigerado,Protocolo_2
1,84.3,90.5,90.9,36.23,normal,C,refrigerado,Protocolo_2
2,67.3,89.9,17.9,53.87,normal,A,refrigerado,Protocolo_2
1,38.3,59.9,40.7,6.64,fragil,B,ambiente,Protocolo_2
2,91.8,74.8,67.1,73.71,normal,A,ambiente,Protocolo_1
1,52.4,100.0,84.4,17.9,normal,D,refrigerado,Protocolo_2
1,22.9,44.0,91.4,57.39,normal,C,refrigerado,Protocolo_2
1,50.9,54.6,71.4,64.16,fragil,A,ambiente,Protocolo_2
3,69.1,66.9,19.0,77.57,normal,B,refrigerado,Protocolo_1
1,39.9,92.5,78.0,65.94,normal,A,ambiente,Protocolo_2
3,85.2,80.7,86.6,65.48,fragil,A,ambiente,Protocolo_2
3,55.6,11.1,38.4,56.49,normal,A,ambiente,Protocolo_1
2,49.4,72.7,51.9,46.22,fragil,A,refrigerado,Protocolo_2
1,86.6,28.9,20.8,3.54,fragil,D,refrigerado,Protocolo_2
3,49.0,29.2,33.9,77.82,normal,A,refrigerado,Protocolo_1
3,44.4,57.0,87.6,36.03,normal,B,ambiente,Protocolo_1
1,14.9,71.1,13.4,63.78,normal,B,ambiente,Protocolo_1
3,39.4,20.1,77.4,30.31,normal,B,ambiente,Protocolo_1
3,42.7,34.9,14.3,36.59,fragil,A,ambiente,Protocolo_1
1,22.2,73.0,32.8,37.1,fragil,C,ambiente,Protocolo_2
1,60.8,19.4,60.3,79.2,normal,B,ambiente,Protocolo_2
3,18.7,85.7,5.3,17.07,normal,C,refrigerado,Protocolo_1
1,26.3,48.3,69.2,40.24,fragil,B,ambiente,Protocolo_2
2,58.3,60.7,35.0,12.54,normal,D,ambiente,Protocolo_1
1,30.6,12.6,76.1,39.63,normal,A,ambiente,Protocolo_1
3,65.8,95.7,97.6,43.77,normal,C,ambiente,Protocolo_2
1,70.6,91.2,44.6,11.1,normal,C,ambiente,Protocolo_1
1,33.6,23.1,7.8,55.92,normal,D,ambiente,Protocolo_2
1,13.3,68.0,85.6,66.27,normal,D,refrigerado,Protocolo_2
1,51.5,80.3,31.1,65.32,normal,B,ambiente,Protocolo_2
2,13.8,16.6,19.1,58.39,normal,C,ambiente,Protocolo_1
1,53.9,59.9,88.5,11.44,normal,B,ambiente,Protocolo_1
3,74.0,85.8,27.1,49.79,fragil,D,refrigerado,Protocolo_2
2,63.9,53.1,62.5,55.93,normal,C,ambiente,Protocolo_2
1,47.6,92.8,29.1,60.8,normal,C,ambiente,Protocolo_2
3,94.9,9.5,72.7,56.81,fragil,A,ambiente,Protocolo_2
2,14.7,92.3,66.6,50.38,normal,A,ambiente,Protocolo_1
3,88.6,97.8,53.4,58.27,normal,A,ambiente,Protocolo_2
1,81.0,19.8,57.7,68.22,normal,C,ambiente,Protocolo_2
3,44.9,45.9,26.6,45.63,normal,C,ambiente,Protocolo_1
2,19.5,64.0,7.1,11.79,fragil,A,ambiente,Protocolo_1
3,19.8,89.9,81.1,65.31,normal,B,refrigerado,Protocolo_2
2,92.6,20.2,89.5,52.95,normal,B,ambiente,Protocolo_1
3,27.2,36.7,78.9,54.99,normal,C,ambiente,Protocolo_1
2,88.0,80.8,72.3,23.68,normal,A,ambiente,Protocolo_1
1,52.8,44.0,49.8,12.14,fragil,A,refrigerado,Protocolo_2
1,48.9,62.5,60.5,62.5,normal,C,ambiente,Protocolo_2
3,63.9,58.2,70.7,4.14,normal,A,ambiente,Protocolo_1
3,25.4,97.5,7.5,32.31,normal,C,ambiente,Protocolo_1
2,45.7,18.4,45.2,40.81,normal,A,ambiente,Protocolo_1
3,94.2,95.1,26.3,1.59,fragil,A,ambiente,Protocolo_2
1,27.6,58.6,39.6,47.84,fragil,A,ambiente,Protocolo_2
1,92.6,90.9,76.2,9.75,normal,B,refrigerado,Protocolo_2
2,99.4,16.2,39.5,19.47,normal,D,ambiente,Protocolo_1
2,9.9,65.9,75.2,79.49,normal,B,ambiente,Protocolo_1
3,55.5,84.8,97.3,44.91,normal,B,refrigerado,Protocolo_2
3,21.3,79.8,92.7,77.47,normal,C,ambiente,Protocolo_2
1,64.1,5.9,83.6,39.51,normal,A,ambiente,Protocolo_1
3,99.0,48.0,86.0,64.31,fragil,B,ambiente,Protocolo_2
2,90.2,16.0,42.4,3.23,fragil,C,ambiente,Protocolo_2
3,92.9,19.5,74.5,23.44,normal,D,ambiente,Protocolo_1
1,25.3,72.1,68.4,22.8,normal,A,ambiente,Protocolo_1
1,56.5,95.9,98.4,5.77,normal,C,ambiente,Protocolo_2
1,27.3,65.2,59.6,76.18,normal,A,ambiente,Protocolo_1
3,90.4,14.7,45.8,40.47,normal,B,ambiente,Protocolo_2
1,23.2,28.2,84.5,47.52,normal,B,ambiente,Protocolo_2
3,19.6,41.0,76.2,41.73,normal,C,ambiente,Protocolo_1
3,6.2,16.9,16.9,20.04,normal,C,ambiente,Protocolo_1
1,22.3,85.6,61.6,73.96,normal,C,ambiente,Protocolo_2
3,23.0,23.5,61.3,53.59,fragil,A,refrigerado,Protocolo_2
1,12.4,17.3,65.0,10.06,normal,B,ambiente,Protocolo_1
1,87.4,73.9,94.4,37.05,fragil,A,refrigerado,Protocolo_2
2,79.1,17.0,62.2,0.32,normal,A,ambiente,Protocolo_1
1,29.2,44.0,87.7,54.04,normal,B,refrigerado,Protocolo_2
1,79.4,54.0,39.0,41.98,normal,B,refrigerado,Protocolo_2
1,45.1,12.6,10.5,72.35,normal,B,ambiente,Protocolo_2
2,78.7,57.8,40.6,75.8,fragil,C,ambiente,Protocolo_2
1,35.7,50.6,55.6,8.03,normal,C,refrigerado,Protocolo_2
1,58.6,68.5,84.2,7.34,normal,C,ambiente,Protocolo_1
2,41.3,25.8,65.0,71.95,normal,C,ambiente,Protocolo_2
2,22.8,38.9,47.0,41.07,normal,A,ambiente,Protocolo_1
3,60.6,67.7,48.9,37.68,normal,D,ambiente,Protocolo_1
1,76.3,8.4,99.7,45.75,normal,C,ambiente,Protocolo_2
2,76.5,16.0,18.4,37.42,normal,C,ambiente,Protocolo_1
3,38.8,31.9,24.5,49.22,normal,D,refrigerado,Protocolo_2
2,54.3,15.1,64.4,75.94,normal,C,ambiente,Protocolo_1
1,77.6,8.8,71.6,48.56,fragil,B,ambiente,Protocolo_2
2,10.2,98.8,42.5,25.79,normal,B,ambiente,Protocolo_1
2,11.8,48.3,8.1,17.23,normal,B,ambiente,Protocolo_1
1,40.7,55.7,54.6,77.3,fragil,D,ambiente,Protocolo_2
2,26.2,29.2,18.7,46.44,normal,A,refrigerado,Protocolo_2
1,40.6,5.7,10.3,45.42,normal,B,refrigerado,Protocolo_2
2,13.9,76.3,37.8,2.86,normal,A,ambiente,Protocolo_1
3,61.2,73.8,17.9,73.49,normal,B,ambiente,Protocolo_1
2,68.8,97.4,46.7,37.67,fragil,C,ambiente,Protocolo_2
3,80.2,7.0,77.4,79.98,normal,C,ambiente,Protocolo_1
1,66.8,18.0,9.5,13.6,fragil,A,refrigerado,Protocolo_2
3,42.7,72.7,52.5,26.23,normal,B,refrigerado,Protocolo_1
3,93.8,36.4,52.2,16.96,normal,A,ambiente,Protocolo_1
3,74.0,11.1,5.2,30.44,fragil,C,ambiente,Protocolo_2
3,55.1,33.6,75.1,78.14,normal,A,ambiente,Protocolo_1
2,24.7,13.3,13.5,33.3,normal,A,ambiente,Protocolo_1
2,66.7,84.6,93.5,66.2,normal,A,ambiente,Protocolo_1
3,61.2,88.3,65.7,60.47,normal,B,ambiente,Protocolo_1
3,69.9,65.5,32.3,23.98,normal,A,refrigerado,Protocolo_1
2,79.2,41.6,92.9,46.48,normal,C,ambiente,Protocolo_2
1,91.9,78.0,43.0,68.17,normal,D,refrigerado,Protocolo_2
1,95.2,65.0,29.7,48.98,fragil,A,ambiente,Protocolo_2
1,64.9,80.2,41.5,21.34,normal,B,refrigerado,Protocolo_2
1,96.8,53.5,63.1,69.08,fragil,D,ambiente,Protocolo_2
1,91.6,96.0,73.7,44.58,normal,D,ambiente,Protocolo_2
1,5.2,32.6,67.9,78.4,normal,C,refrigerado,Protocolo_2
3,65.6,62.4,92.5,52.52,normal,A,ambiente,Protocolo_2
1,22.0,81.8,95.8,36.02,normal,B,refrigerado,Protocolo_2
2,33.0,89.9,23.7,34.99,normal,D,refrigerado,Protocolo_1
2,33.3,94.9,91.7,70.43,fragil,A,ambiente,Protocolo_2
1,50.9,42.5,15.1,78.45,normal,A,ambiente,Protocolo_1
3,6.0,71.4,95.9,32.95,normal,B,ambiente,Protocolo_1
3,27.4,32.6,29.6,13.21,normal,A,refrigerado,Protocolo_1
3,7.8,66.7,30.2,3.37,normal,B,ambiente,Protocolo_1
3,66.8,22.5,45.0,25.93,normal,C,ambiente,Protocolo_1
2,89.5,45.0,22.3,27.49,normal,B,ambiente,Protocolo_1
3,99.8,92.4,83.6,34.18,normal,A,ambiente,Protocolo_1
1,47.6,82.0,16.9,11.77,normal,B,ambiente,Protocolo_1
3,29.7,52.2,46.7,39.51,normal,C,ambiente,Protocolo_1
3,86.0,19.0,91.2,75.48,normal,C,ambiente,Protocolo_2
1,15.8,42.9,65.4,18.75,normal,A,ambiente,Protocolo_1
2,97.6,18.2,62.7,54.84,normal,A,ambiente,Protocolo_1
2,72.9,11.5,99.5,3.23,fragil,D,ambiente,Protocolo_2
1,52.9,91.1,7.1,51.58,normal,A,ambiente,Protocolo_1
3,14.2,51.7,35.4,75.01,normal,B,ambiente,Protocolo_1
1,6.7,13.5,16.9,22.73,normal,A,ambiente,Protocolo_1
1,56.7,73.1,22.5,65.34,normal,B,refrigerado,Protocolo_2
1,44.3,12.0,25.5,6.78,normal,C,ambiente,Protocolo_1
3,85.1,42.6,64.6,28.79,normal,A,ambiente,Protocolo_1
1,66.0,26.9,30.9,0.73,normal,B,ambiente,Protocolo_1
2,46.0,20.6,68.1,28.54,normal,C,ambiente,Protocolo_1
3,26.5,55.7,75.1,24.93,normal,A,ambiente,Protocolo_1
1,50.6,73.4,43.2,55.48,normal,C,ambiente,Protocolo_2
3,20.5,51.3,56.0,23.7,normal,A,refrigerado,Protocolo_1
1,68.4,83.0,17.5,65.88,fragil,B,ambiente,Protocolo_2
3,62.5,92.2,76.5,23.46,fragil,D,ambiente,Protocolo_2
1,82.0,81.7,44.8,18.02,normal,A,refrigerado,Protocolo_1
1,47.7,95.9,84.3,39.66,normal,A,ambiente,Protocolo_1
3,31.5,93.3,55.0,52.59,normal,C,ambiente,Protocolo_1
3,84.5,84.1,71.2,71.12,normal,B,ambiente,Protocolo_2
3,70.6,32.8,39.1,65.12,normal,A,ambiente,Protocolo_1
3,72.1,21.6,40.3,42.06,normal,B,ambiente,Protocolo_1
2,55.2,74.1,46.5,78.27,normal,C,ambiente,Protocolo_2
1,88.2,85.3,65.4,23.86,normal,C,ambiente,Protocolo_2
1,26.6,83.2,53.1,79.96,fragil,B,ambiente,Protocolo_2
2,43.2,66.1,81.4,30.94,normal,B,ambiente,Protocolo_1
2,80.6,83.8,10.2,21.14,fragil,D,ambiente,Protocolo_2
2,17.6,72.2,90.6,30.75,normal,D,refrigerado,Protocolo_1
1,81.8,68.2,93.0,46.95,normal,C,refrigerado,Protocolo_2
2,38.5,9.4,28.2,38.02,normal,B,refrigerado,Protocolo_1
1,16.9,48.7,14.6,4.2,fragil,C,ambiente,Protocolo_2
1,12.5,8.2,59.3,28.61,fragil,D,ambiente,Protocolo_2
1,85.1,13.8,11.1,39.45,fragil,A,ambiente,Protocolo_1
2,79.0,56.4,26.8,53.13,normal,B,ambiente,Protocolo_1
2,32.4,9.5,53.2,76.25,normal,A,refrigerado,Protocolo_2
1,16.1,91.8,63.3,76.48,normal,D,ambiente,Protocolo_2
2,28.5,47.8,23.5,41.22,fragil,C,ambiente,Protocolo_2
1,25.2,71.5,93.6,45.61,fragil,A,refrigerado,Protocolo_2
1,74.6,19.0,22.2,55.9,normal,D,ambiente,Protocolo_2
1,25.5,85.5,19.6,66.86,fragil,C,refrigerado,Protocolo_2
2,25.5,50.4,20.4,59.67,normal,D,ambiente,Protocolo_1
3,8.1,58.1,93.3,57.7,fragil,D,ambiente,Protocolo_2
1,61.7,66.6,88.5,35.89,normal,A,ambiente,Protocolo_1
1,70.5,56.3,8.1,69.54,normal,A,refrigerado,Protocolo_2
1,67.1,58.5,74.0,53.07,normal,B,ambiente,Protocolo_2
2,59.0,75.7,12.0,12.9,normal,C,ambiente,Protocolo_1
3,96.8,81.6,12.2,47.95,normal,C,ambiente,Protocolo_1
1,49.9,34.1,12.2,24.98,fragil,B,ambiente,Protocolo_2
2,86.7,92.6,83.8,16.4,fragil,B,ambiente,Protocolo_2
3,66.4,38.6,45.6,51.98,normal,B,ambiente,Protocolo_1
3,13.0,30.9,57.9,51.45,normal,B,ambiente,Protocolo_1
2,82.0,34.6,7.9,76.39,normal,C,ambiente,Protocolo_1
3,60.5,39.1,90.6,78.1,fragil,B,refrigerado,Protocolo_2
3,67.1,35.1,98.3,32.82,normal,C,refrigerado,Protocolo_1
3,22.1,85.2,27.3,14.45,normal,A,refrigerado,Protocolo_1
1,46.6,58.3,67.4,11.41,normal,A,refrigerado,Protocolo_1
1,88.7,96.9,69.5,77.95,fragil,B,ambiente,Protocolo_2
1,25.5,13.0,96.8,31.79,normal,A,refrigerado,Protocolo_1
3,5.0,63.3,51.0,27.55,normal,C,refrigerado,Protocolo_1
2,29.5,14.1,27.6,49.77,normal,C,ambiente,Protocolo_1
1,51.3,48.6,39.2,4.77,fragil,A,refrigerado,Protocolo_2
2,83.0,41.4,65.8,51.81,normal,A,ambiente,Protocolo_2
1,66.1,69.7,49.9,70.08,fragil,C,refrigerado,Protocolo_2
3,92.3,75.8,12.5,58.0,normal,D,ambiente,Protocolo_1
2,48.3,27.6,81.7,33.51,normal,B,refrigerado,Protocolo_1
3,42.1,23.4,87.1,9.47,normal,C,refrigerado,Protocolo_1
1,27.0,44.9,50.4,19.45,normal,A,refrigerado,Protocolo_2
2,25.7,28.0,54.7,21.38,fragil,B,ambiente,Protocolo_1
1,74.9,69.3,51.7,30.92,normal,B,ambiente,Protocolo_1
3,12.6,54.2,55.3,10.84,normal,B,ambiente,Protocolo_1
2,28.1,83.6,14.7,46.14,normal,B,refrigerado,Protocolo_1
2,89.2,98.2,46.2,29.43,normal,B,ambiente,Protocolo_1
2,59.8,40.9,47.5,39.81,normal,D,ambiente,Protocolo_1
1,9.4,91.6,99.8,22.95,normal,A,ambiente,Protocolo_1
3,71.9,78.8,9.6,36.42,fragil,B,refrigerado,Protocolo_2
2,53.1,19.2,34.7,57.07,normal,B,refrigerado,Protocolo_2
3,86.2,84.4,52.1,7.24,fragil,C,refrigerado,Protocolo_2
1,69.8,50.7,85.5,40.91,normal,B,ambiente,Protocolo_2
1,5.4,72.4,48.8,49.54,normal,A,refrigerado,Protocolo_2
3,24.5,71.7,32.6,53.48,normal,A,refrigerado,Protocolo_2
1,29.5,89.2,55.9,73.84,normal,A,refrigerado,Protocolo_2
1,71.7,77.3,33.2,62.53,normal,C,ambiente,Protocolo_2
3,53.4,83.3,57.1,59.17,normal,B,ambiente,Protocolo_2
1,76.0,35.5,70.5,69.47,normal,A,refrigerado,Protocolo_2
1,53.7,97.4,55.4,73.17,normal,A,ambiente,Protocolo_1
2,36.1,67.9,62.9,67.18,normal,D,ambiente,Protocolo_2
1,14.8,78.5,8.7,49.2,fragil,B,ambiente,Protocolo_2
1,24.2,86.6,67.6,67.48,normal,C,refrigerado,Protocolo_2
1,43.1,16.8,97.1,26.25,normal,A,ambiente,Protocolo_1
1,57.4,37.0,51.7,76.17,normal,B,ambiente,Protocolo_2
1,94.2,84.4,81.3,14.04,normal,A,ambiente,Protocolo_2
3,27.8,92.6,57.1,18.49,fragil,A,ambiente,Protocolo_1
1,68.3,76.8,71.9,12.85,normal,B,ambiente,Protocolo_1
1,19.5,50.8,34.4,62.21,normal,A,ambiente,Protocolo_2
1,72.8,28.9,96.9,34.87,normal,D,ambiente,Protocolo_1
2,6.1,54.9,25.4,59.09,normal,B,ambiente,Protocolo_1
3,67.3,42.7,20.1,40.9,normal,A,ambiente,Protocolo_1
2,20.5,89.1,9.3,32.38,fragil,B,ambiente,Protocolo_1
1,22.1,58.9,56.4,71.73,normal,D,ambiente,Protocolo_2
1,58.1,42.2,63.8,34.69,normal,D,ambiente,Protocolo_1
2,40.7,52.4,66.7,49.55,fragil,A,ambiente,Protocolo_2
1,49.8,93.7,21.4,68.72,normal,D,ambiente,Protocolo_2
3,34.3,63.3,66.9,17.17,normal,B,ambiente,Protocolo_1
3,95.6,26.8,20.7,32.34,normal,C,ambiente,Protocolo_1
2,32.6,52.5,76.7,11.76,normal,C,ambiente,Protocolo_1
3,56.5,49.2,31.1,43.51,normal,D,ambiente,Protocolo_1
1,86.2,34.5,45.1,63.21,fragil,B,ambiente,Protocolo_2
1,68.1,74.9,39.9,4.59,normal,C,refrigerado,Protocolo_2
3,35.7,30.5,39.9,5.01,normal,C,ambiente,Protocolo_1
3,57.5,51.8,73.5,59.35,fragil,B,ambiente,Protocolo_2
1,12.9,46.9,99.8,56.83,fragil,C,ambiente,Protocolo_2
2,56.8,49.4,55.1,32.3,normal,D,refrigerado,Protocolo_1
1,46.0,58.8,43.1,28.98,normal,B,refrigerado,Protocolo_1
2,77.0,69.9,32.9,22.71,normal,C,ambiente,Protocolo_1
3,85.6,18.6,64.3,5.13,normal,C,refrigerado,Protocolo_1
3,24.0,32.4,47.9,41.18,normal,C,ambiente,Protocolo_1
2,12.7,78.4,78.4,49.36,normal,C,ambiente,Protocolo_1
3,42.1,91.2,62.6,69.26,normal,C,refrigerado,Protocolo_2
2,55.7,9.2,44.1,43.44,normal,A,ambiente,Protocolo_2
3,40.8,12.0,95.5,12.33,normal,A,ambiente,Protocolo_1
1,64.7,93.7,6.1,24.79,fragil,B,refrigerado,Protocolo_2
2,53.0,19.1,70.5,62.84,normal,C,ambiente,Protocolo_1
2,94.0,98.0,44.0,49.53,normal,A,ambiente,Protocolo_1
2,43.9,83.7,16.6,61.73,normal,A,refrigerado,Protocolo_2
1,12.8,16.5,13.8,33.2,normal,A,refrigerado,Protocolo_2
1,33.7,14.7,66.7,5.59,normal,D,ambiente,Protocolo_1
3,62.6,97.8,19.0,71.39,normal,D,ambiente,Protocolo_1
1,29.3,29.2,86.3,28.07,normal,A,refrigerado,Protocolo_1
2,30.6,56.2,34.5,6.85,normal,C,ambiente,Protocolo_1
2,37.3,27.4,37.7,47.03,normal,C,ambiente,Protocolo_1
2,75.9,62.1,67.7,59.57,normal,A,refrigerado,Protocolo_2
1,94.3,84.8,25.9,38.34,normal,B,ambiente,Protocolo_1
1,38.3,67.4,5.7,49.19,fragil,A,ambiente,Protocolo_2
1,23.6,9.4,47.4,33.5,fragil,B,ambiente,Protocolo_2
1,45.0,61.5,55.1,65.13,normal,A,refrigerado,Protocolo_2
1,38.4,67.8,47.4,62.74,normal,A,refrigerado,Protocolo_2
1,99.1,24.1,48.5,57.65,normal,D,ambiente,Protocolo_2
1,49.1,77.4,68.2,1.79,normal,B,refrigerado,Protocolo_2
3,69.5,64.6,85.3,41.41,fragil,A,refrigerado,Protocolo_2
2,91.8,5.9,39.7,62.87,normal,A,refrigerado,Protocolo_1
1,64.8,95.3,80.1,19.74,normal,A,refrigerado,Protocolo_2
2,28.7,47.3,11.0,20.88,normal,B,refrigerado,Protocolo_1
1,62.7,27.1,50.6,72.36,normal,A,ambiente,Protocolo_2
2,43.2,13.2,40.7,67.37,normal,A,ambiente,Protocolo_1
1,45.1,40.6,49.3,79.05,normal,B,refrigerado,Protocolo_2
1,98.0,34.2,13.7,39.89,fragil,C,refrigerado,Protocolo_2
1,31.5,33.3,18.2,10.11,fragil,C,ambiente,Protocolo_2
2,49.5,80.4,32.9,0.86,normal,A,ambiente,Protocolo_1
2,20.2,66.4,31.0,56.55,normal,A,ambiente,Protocolo_1
2,22.0,17.6,41.6,65.37,normal,A,ambiente,Protocolo_1
2,62.3,72.3,48.4,34.38,normal,B,ambiente,Protocolo_1
3,76.3,73.7,26.0,34.18,fragil,A,refrigerado,Protocolo_2
3,65.5,53.9,63.8,67.25,normal,A,ambiente,Protocolo_1
2,36.3,99.6,40.7,15.05,fragil,D,ambiente,Protocolo_2
2,10.7,31.9,10.7,5.26,normal,C,ambiente,Protocolo_1
2,49.7,10.6,28.2,77.26,normal,D,ambiente,Protocolo_1
1,52.9,7.7,58.2,43.48,normal,B,ambiente,Protocolo_2
2,78.2,35.5,62.7,61.84,normal,C,ambiente,Protocolo_1
1,65.8,52.3,81.0,76.39,normal,B,refrigerado,Protocolo_2
3,87.8,12.4,28.3,64.87,normal,A,refrigerado,Protocolo_2
2,79.4,58.8,58.4,37.52,normal,B,ambiente,Protocolo_1
3,39.8,90.6,50.2,51.92,normal,D,ambiente,Protocolo_1
3,65.1,80.7,85.6,50.65,normal,C,ambiente,Protocolo_2
2,76.0,68.9,74.3,74.06,normal,A,ambiente,Protocolo_2
3,95.9,67.9,17.5,11.46,normal,D,ambiente,Protocolo_1
2,45.1,74.4,96.1,55.72,fragil,B,ambiente,Protocolo_2
1,66.6,51.9,38.7,69.05,normal,B,ambiente,Protocolo_1
1,42.3,43.2,95.7,28.85,fragil,A,ambiente,Protocolo_2
1,75.1,34.1,32.1,56.72,normal,C,ambiente,Protocolo_2
3,91.6,14.5,49.5,20.14,normal,B,ambiente,Protocolo_1
2,92.3,58.4,57.3,7.23,normal,C,ambiente,Protocolo_1
1,19.9,49.9,11.0,2.23,fragil,D,refrigerado,Protocolo_2
2,24.4,16.3,73.0,42.49,normal,C,ambiente,Protocolo_1
1,76.7,30.5,14.9,4.32,normal,A,ambiente,Protocolo_1
3,64.9,79.8,20.6,47.48,normal,A,ambiente,Protocolo_1
3,91.0,29.3,32.6,30.17,normal,B,refrigerado,Protocolo_1
1,34.8,45.4,96.3,0.75,normal,A,ambiente,Protocolo_2
3,85.6,20.3,97.4,18.27,normal,C,ambiente,Protocolo_1
2,70.0,21.1,51.5,59.12,normal,A,ambiente,Protocolo_1
1,23.6,76.9,55.7,30.43,normal,A,ambiente,Protocolo_1
3,17.0,11.3,25.1,58.1,normal,A,ambiente,Protocolo_1
1,71.8,32.1,44.7,65.23,normal,C,refrigerado,Protocolo_2
1,20.1,98.2,98.5,63.8,normal,B,ambiente,Protocolo_2
1,80.5,50.2,80.1,53.71,normal,B,ambiente,Protocolo_2
2,57.9,62.6,71.3,59.78,normal,B,ambiente,Protocolo_2
2,50.3,65.9,31.4,45.67,fragil,A,ambiente,Protocolo_2
1,31.2,23.6,77.5,37.29,normal,C,ambiente,Protocolo_1
1,98.5,40.1,96.8,5.12,normal,B,refrigerado,Protocolo_2
1,73.6,43.1,98.9,78.01,fragil,A,refrigerado,Protocolo_2
3,78.9,26.9,62.0,67.25,normal,B,ambiente,Protocolo_1
3,78.0,27.2,20.3,53.82,normal,A,ambiente,Protocolo_1
3,60.5,62.7,96.6,51.6,normal,B,refrigerado,Protocolo_2
2,94.3,15.3,56.4,46.23,normal,D,refrigerado,Protocolo_2
2,60.5,17.3,8.6,7.73,normal,C,ambiente,Protocolo_1
3,54.4,59.5,12.7,25.69,fragil,A,ambiente,Protocolo_1
2,31.0,47.7,59.8,27.3,normal,B,refrigerado,Protocolo_1
2,31.8,63.1,84.4,63.54,normal,B,ambiente,Protocolo_1
1,75.0,7.6,94.4,48.48,normal,A,refrigerado,Protocolo_2
2,36.8,72.0,94.7,31.97,normal,A,ambiente,Protocolo_1
1,74.2,85.7,60.0,26.38,normal,B,refrigerado,Protocolo_1
1,95.5,54.8,98.2,68.34,normal,A,ambiente,Protocolo_2
3,46.7,84.9,19.2,62.89,normal,A,refrigerado,Protocolo_2
3,14.2,43.0,14.0,65.09,normal,B,ambiente,Protocolo_1
1,68.3,12.5,7.9,31.75,normal,C,refrigerado,Protocolo_1
1,5.9,40.9,78.5,38.44,normal,C,ambiente,Protocolo_2
1,79.8,47.4,92.1,45.95,normal,A,ambiente,Protocolo_2
3,54.9,87.2,84.8,15.51,normal,B,ambiente,Protocolo_1
1,51.5,36.8,94.3,29.11,fragil,A,ambiente,Protocolo_2
1,59.1,34.9,57.1,39.39,normal,A,ambiente,Protocolo_1
1,54.1,89.4,77.5,53.7,normal,B,refrigerado,Protocolo_2
3,35.8,28.8,37.0,36.07,normal,A,refrigerado,Protocolo_1
2,31.7,66.0,77.8,12.54,fragil,C,ambiente,Protocolo_2
3,44.5,36.0,76.5,34.12,normal,A,refrigerado,Protocolo_1
3,90.0,95.4,46.4,42.6,normal,A,refrigerado,Protocolo_2
1,17.9,23.0,9.2,52.13,normal,B,ambiente,Protocolo_2
3,35.9,73.8,30.3,68.33,normal,B,refrigerado,Protocolo_2
2,23.3,57.3,89.1,18.75,normal,C,ambiente,Protocolo_1
2,45.6,98.0,60.8,44.87,normal,A,ambiente,Protocolo_2
1,17.7,99.4,43.5,33.51,fragil,D,ambiente,Protocolo_2
3,77.3,80.4,95.0,55.02,normal,B,refrigerado,Protocolo_2
3,14.8,14.8,39.8,69.97,normal,D,ambiente,Protocolo_2
2,68.2,49.6,36.2,38.27,normal,A,ambiente,Protocolo_1
1,30.4,86.2,78.2,67.57,normal,D,ambiente,Protocolo_2
3,49.9,65.7,38.8,0.36,fragil,D,refrigerado,Protocolo_2
3,24.0,88.5,47.4,73.0,normal,A,ambiente,Protocolo_1
2,74.4,80.9,73.6,63.12,normal,A,ambiente,Protocolo_2
2,95.1,34.7,45.9,10.88,fragil,C,ambiente,Protocolo_2
1,26.1,23.5,35.6,54.09,normal,A,ambiente,Protocolo_2
1,95.5,35.6,6.5,41.24,normal,A,ambiente,Protocolo_2
3,35.9,71.1,86.8,77.66,fragil,D,ambiente,Protocolo_2
2,58.0,50.7,55.0,24.49,fragil,C,ambiente,Protocolo_2
1,71.7,9.2,85.9,48.8,fragil,C,ambiente,Protocolo_2
3,23.9,75.5,63.7,41.92,normal,D,ambiente,Protocolo_1
1,47.3,9.2,24.1,17.85,normal,C,ambiente,Protocolo_1
1,11.4,43.9,39.5,65.13,normal,C,ambiente,Protocolo_2
1,71.2,48.9,44.6,59.49,normal,C,refrigerado,Protocolo_2
2,44.6,52.8,75.3,43.62,normal,B,ambiente,Protocolo_1
2,89.7,18.2,57.1,75.54,normal,A,ambiente,Protocolo_1
1,31.0,76.0,65.5,74.15,normal,C,ambiente,Protocolo_2
2,92.7,85.7,76.5,65.48,fragil,C,ambiente,Protocolo_2
2,18.4,71.3,31.0,12.36,normal,A,ambiente,Protocolo_1
2,62.7,95.4,88.8,71.55,normal,A,ambiente,Protocolo_2
2,34.2,29.5,48.1,24.6,normal,D,ambiente,Protocolo_1
3,22.3,20.3,67.8,45.69,normal,A,refrigerado,Protocolo_2
3,13.9,11.4,25.7,77.98,normal,B,ambiente,Protocolo_1
1,67.3,73.5,27.2,18.63,normal,C,ambiente,Protocolo_1
3,27.2,20.4,74.8,16.14,normal,A,ambiente,Protocolo_1
2,59.4,94.1,38.3,68.18,normal,B,refrigerado,Protocolo_2
1,98.0,61.8,88.2,1.24,fragil,C,refrigerado,Protocolo_2
2,35.0,81.4,68.2,14.1,normal,A,ambiente,Protocolo_1
3,8.3,46.3,68.2,26.32,normal,B,ambiente,Protocolo_1
3,18.6,74.8,41.1,59.12,normal,B,refrigerado,Protocolo_2
